RA,Fase,Turma,Nome,Ano nasc,Idade 22,Genero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra,INDE,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,IPV,IAN,Fase ideal,Defas,Destaque IEG,Destaque IDA,Destaque IPV,ANO,Atingiu_PV,INDE 2023,Nome Anonimizado,Data de Nasc,Idade,Pedra 22,Pedra 23,INDE 22,IPP,Mat,Por,Ing,Fase Ideal,Destaque IPV.1,INDE 23,Avaliador5,Avaliador6,Escola,Ativo/ Inativo,Ativo/ Inativo.1,Pedra_Ordem,EM_RISCO
RA-1,7,A,Aluno-1,2003.0,19.0,Menina,2016,Escola Pública,Ametista,Ametista,QUARTZO,5.783,"753,000",18.0,10.0,4.0,Avaliador-5,Mantido na Fase atual,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Mantido na Fase atual,8.3,4.1,5.6,Requer avaliação,4.0,"2,7","3,5","6,0",Sim,7.278,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,QUARTZO,1
RA-2,7,A,Aluno-2,2005.0,17.0,Menina,2017,Rede Decisão,Ametista,Ametista,AMETISTA,7.055,"469,000",8.0,3.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,8.8,5.2,6.3,Sem limitações,6.8,"6,3","4,5","9,7",Não,6.778,10.0,Fase 7 (3º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-3,7,A,Aluno-3,2005.0,17.0,Menina,2016,Rede Decisão,Ametista,Ametista,AGATA,6.591,"629,000",13.0,6.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,0.0,7.9,5.6,Sem limitações,5.6,"5,8","4,0","6,9",Não,7.556,10.0,Fase 7 (3º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AGATA,0
RA-4,7,A,Aluno-4,2005.0,17.0,Menino,2017,Rede Decisão,Ametista,Ametista,QUARTZO,5.951,"731,000",15.0,7.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.8,4.5,5.6,Requer avaliação,5.0,"2,8","3,5","8,7",Não,5.278,10.0,Fase 7 (3º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,QUARTZO,1
RA-5,7,A,Aluno-5,2005.0,17.0,Menina,2016,Rede Decisão,Ametista,Ametista,AMETISTA,7.427,"344,000",6.0,2.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,7.9,8.6,5.6,Requer avaliação,5.2,"7,0","2,9","5,7",Não,7.389,10.0,Fase 7 (3º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AMETISTA,0
RA-6,7,A,Aluno-6,2004.0,18.0,Menina,2021,Escola Pública,,Ágata,QUARTZO,5.848,"745,000",16.0,8.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,7.9,4.5,7.5,Sem limitações,3.3,"2,3","5,3","2,3",Sim,7.222,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,QUARTZO,1
RA-7,7,A,Aluno-7,2004.0,18.0,Menino,2017,Rede Decisão,Ametista,Ametista,AGATA,6.818,"550,000",11.0,5.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase atual,0.0,8.4,7.5,Sem limitações,7.6,"8,2","5,7","9,0",Não,7.667,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,AGATA,0
RA-8,7,A,Aluno-8,2002.0,20.0,Menina,2018,Escola Pública,Quartzo,Ágata,QUARTZO,4.786,"836,000",21.0,13.0,4.0,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,7.1,4.6,6.3,Requer avaliação,1.6,"1,2","0,7","2,9",Não,6.278,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,QUARTZO,1
RA-9,7,A,Aluno-9,2004.0,18.0,Menina,2019,Escola Pública,Ametista,Ametista,TOPAZIO,8.109,"113,000",1.0,1.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Mantido na Fase + Bolsa,8.8,9.5,7.5,Sem limitações,6.7,"5,5","6,0","8,7",Sim,9.5,5.0,Fase 8 (Universitários),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1.0,,,,,,,,,,,,,,,,,,,,TOPAZIO,0
RA-10,7,A,Aluno-10,2004.0,18.0,Menina,2021,Escola Pública,,Ágata,QUARTZO,5.784,"752,000",17.0,9.0,4.0,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Mantido na Fase atual,8.3,5.2,5.0,Requer avaliação,4.1,"3,3","2,6","6,4",Não,7.056,5.0,Fase 8 (Universitários),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0.0,,,,,,,,,,,,,,,,,,,,QUARTZO,1
