RA,ANO,Fase,INDE,IAA,IEG,IPS,IDA,IPP,IPV,IAN,Defas,Atingiu_PV,EM_RISCO
RA-861,2023,0,9.31095,9.5,10.0,8.13,9.6,8.4375,8.92,10.0,0,,0
RA-862,2023,0,8.2212,8.5,9.1,8.14,8.9,7.5,8.585,5.0,-1,,0
RA-863,2023,0,5.92975,0.0,7.6,3.14,6.3,5.9375,6.26,10.0,0,,1
RA-864,2023,0,7.034,0.0,7.6,8.14,6.3,7.5,8.5,10.0,0,,0
RA-865,2023,0,8.1552,8.5,8.7,7.52,7.4,7.5,7.915,10.0,0,,0
RA-866,2023,0,7.679,0.0,8.3,8.76,8.6,7.5,8.415,10.0,0,,0
RA-867,2023,0,8.6992,9.0,8.6,8.76,8.9,7.5,8.415,10.0,0,,0
RA-868,2023,0,8.63895,10.0,9.5,8.76,7.1,7.1875,8.67,10.0,0,,0
RA-869,2023,0,9.2587,9.0,10.0,8.76,9.6,8.125,8.75,10.0,0,,0
RA-870,2023,0,4.909,0.0,8.5,8.76,1.5,5.0,5.165,5.0,-1,,1
RA-871,2023,0,6.8617,9.0,9.5,3.76,6.9,4.375,6.84,5.0,-1,,0
RA-872,2023,0,5.267,0.0,6.7,2.52,4.3,6.25,8.5,5.0,-2,,1
RA-873,2023,0,7.8012,8.5,9.7,7.52,7.0,6.25,8.67,5.0,-2,,0
RA-874,2023,0,5.811,0.0,8.2,7.52,4.8,6.25,6.67,5.0,-1,,1
RA-875,2023,0,8.2712,9.5,9.5,7.52,7.3,7.5,9.845,5.0,-1,,0
RA-876,2023,0,8.6492,10.0,9.4,7.52,7.5,7.5,8.835,10.0,0,,0
RA-877,2023,0,7.4722,9.5,9.5,7.52,6.9,5.0,7.5,5.0,-1,,0
RA-878,2023,0,6.24,0.0,9.5,2.52,8.1,5.0,7.34,5.0,-2,,0
RA-879,2023,0,6.8225,0.0,9.8,2.52,8.2,6.875,8.915,5.0,-1,,0
RA-880,2023,0,6.724,0.0,9.4,2.52,6.3,6.25,8.585,10.0,0,,0
RA-881,2023,0,7.7322,10.0,8.9,7.52,7.3,5.0,6.25,10.0,0,,0
RA-882,2023,0,6.0092,9.0,8.6,2.52,4.7,3.75,4.16,10.0,0,,0
RA-883,2023,0,8.5082,9.5,9.7,6.89,8.4,6.25,8.17,10.0,0,,0
RA-884,2023,0,8.4587,9.0,9.7,4.39,8.8,6.875,8.66,10.0,0,,0
RA-885,2023,0,8.8252,9.0,9.8,7.52,8.7,7.5,8.665,10.0,0,,0
RA-886,2023,0,8.6422,8.5,9.4,7.52,8.1,7.5,9.0,10.0,0,,0
RA-887,2023,0,8.6718,8.9,8.9,7.52,8.4,7.5,9.09,10.0,0,,0
RA-888,2023,0,8.9182,9.0,10.0,7.52,8.8,7.5,8.83,10.0,0,,0
RA-889,2023,0,8.8092,8.5,9.5,6.89,9.1,7.5,9.0,10.0,0,,0
RA-890,2023,0,6.989,0.0,9.1,2.52,8.3,6.25,8.16,10.0,0,,0
RA-891,2023,0,7.8882,9.5,9.5,6.89,7.5,7.5,7.995,5.0,-1,,0
RA-684,2023,0,7.4277,9.0,8.1,7.52,6.5,6.875,5.84,10.0,0,,0
RA-892,2023,0,8.8112,8.0,9.6,6.89,8.3,7.5,10.01,10.0,0,,0
RA-857,2023,0,8.1442,8.5,9.0,7.52,8.5,7.5,9.01,5.0,-1,,0
RA-893,2023,0,8.8042,9.5,10.0,7.52,9.3,7.5,10.01,5.0,-1,,0
RA-894,2023,0,8.8142,9.5,9.9,7.52,9.4,7.5,10.01,5.0,-1,,0
RA-690,2023,0,8.6112,9.0,9.8,6.89,9.1,7.5,10.01,5.0,-2,,0
RA-895,2023,0,8.5397,9.5,9.5,7.52,6.8,6.875,9.5,10.0,0,,0
RA-896,2023,0,9.0912,9.5,10.0,6.89,8.5,7.5,10.01,10.0,0,,0
RA-693,2023,0,9.0112,10.0,9.4,6.89,8.5,7.5,10.01,10.0,0,,0
RA-675,2023,0,8.3577,10.0,8.0,7.52,8.3,6.875,8.34,10.0,0,,0
RA-850,2023,0,6.06525,0.0,7.9,6.26,7.3,6.5625,6.265,5.0,-1,,0
RA-897,2023,0,5.48225,0.0,8.1,7.52,6.5,6.5625,3.32,5.0,-1,,1
RA-842,2023,0,7.2117,9.0,8.5,3.77,7.9,5.625,8.01,5.0,-1,,0
RA-898,2023,0,8.4217,9.0,9.8,3.77,9.4,8.125,10.01,5.0,-1,,0
RA-899,2023,0,8.8452,10.0,9.8,3.77,9.5,7.5,9.34,10.0,0,,0
RA-900,2023,0,8.8947,9.0,9.8,9.38,7.8,8.125,8.67,10.0,0,,0
